任务开始运行于 r4516u01n01.misha.ycrc.yale.edu at Fri Dec 19 03:07:37 EST 2025
CUDA_VISIBLE_DEVICES: 0
正在使用的显卡信息：
NVIDIA A40
+ python -u src/train_rl.py --variants_path ./data/goldstein_price_family_variants.npz --model_path ./model/finetuned_tabpfn_goldstein_price_family.ckpt --total_episodes 10000 --max_steps 20 --n_candidates 128 --hidden_dim 64 --n_cross_attn_layers 2 --update_every 20 --save_every 1000 --save_dir ./runs/ppo_bo_1219_v1 --seed 42
/gpfs/radev/pi/cohan/yz979/environment/miniconda3/envs/fl_test/lib/python3.11/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]

======================================================================
Improved PPO Training for Bayesian Optimization (Goldstein-Price)
======================================================================
Device: cuda
Total Episodes: 10000
Max Steps per Episode: 20
Candidates per Step: 128
Update Every: 20 episodes
网络: hidden=64, self_attn=3, cross_attn=2, heads=8
======================================================================

TensorBoard 日志目录: ./runs/ppo_bo_1219_v1/tensorboard
环境已创建: 32 个 Goldstein-Price 变体
PPO 网络参数量: 285,124

开始训练...

Episode    20 | Reward:  23.80 | Regret: 98.2416 | Best: inf | LR: 1.00e-04
Episode   600 | Reward:  19.84 | Regret: 72.8076 | Best: 57.6597 | LR: 7.94e-05
Episode   620 | Reward:  19.94 | Regret: 78.0959 | Best: 57.6597 | LR: 7.81e-05
Episode   640 | Reward:  19.97 | Regret: 75.8331 | Best: 57.6597 | LR: 7.68e-05
Episode   660 | Reward:  20.73 | Regret: 69.4427 | Best: 57.6597 | LR: 7.55e-05
Episode   680 | Reward:  20.25 | Regret: 76.9772 | Best: 57.6597 | LR: 7.41e-05
Episode   700 | Reward:  19.90 | Regret: 84.1973 | Best: 57.6597 | LR: 7.27e-05
Episode   720 | Reward:  21.14 | Regret: 70.6304 | Best: 57.6597 | LR: 7.13e-05
Episode   740 | Reward:  20.33 | Regret: 74.7823 | Best: 57.6597 | LR: 6.99e-05
Episode   760 | Reward:  20.26 | Regret: 73.2565 | Best: 57.6597 | LR: 6.84e-05
Episode   780 | Reward:  20.62 | Regret: 68.3243 | Best: 57.6597 | LR: 6.69e-05
Episode   800 | Reward:  21.28 | Regret: 61.5349 | Best: 57.6597 | LR: 6.55e-05
Episode   820 | Reward:  20.33 | Regret: 67.9818 | Best: 57.6597 | LR: 6.39e-05
Episode   840 | Reward:  20.67 | Regret: 71.6198 | Best: 57.6597 | LR: 6.24e-05
Episode   860 | Reward:  19.60 | Regret: 78.1397 | Best: 57.6597 | LR: 6.09e-05
Episode   880 | Reward:  20.29 | Regret: 73.9169 | Best: 57.6597 | LR: 5.94e-05
Episode   900 | Reward:  19.53 | Regret: 82.0523 | Best: 57.6597 | LR: 5.78e-05
Episode   920 | Reward:  20.01 | Regret: 84.8806 | Best: 57.6597 | LR: 5.63e-05
Episode   940 | Reward:  21.04 | Regret: 73.6546 | Best: 57.6597 | LR: 5.47e-05
Episode   960 | Reward:  21.93 | Regret: 77.3618 | Best: 57.6597 | LR: 5.31e-05
Episode   980 | Reward:  22.76 | Regret: 74.2959 | Best: 57.6597 | LR: 5.16e-05
Episode  1000 | Reward:  22.42 | Regret: 88.5408 | Best: 57.6597 | LR: 5.00e-05

模型已保存: ./runs/ppo_bo_1219_v1/ppo_ep1000.pt

Episode  1020 | Reward:  22.58 | Regret: 79.2507 | Best: 57.6597 | LR: 4.84e-05
Episode  1040 | Reward:  22.20 | Regret: 89.1383 | Best: 57.6597 | LR: 4.69e-05
Episode  1060 | Reward:  21.83 | Regret: 96.0117 | Best: 57.6597 | LR: 4.53e-05
Episode  1080 | Reward:  20.09 | Regret: 100.3548 | Best: 57.6597 | LR: 4.37e-05
Episode  1100 | Reward:  21.46 | Regret: 76.9772 | Best: 57.6597 | LR: 4.22e-05
Episode  1120 | Reward:  21.48 | Regret: 77.1189 | Best: 57.6597 | LR: 4.06e-05
Episode  1140 | Reward:  21.78 | Regret: 65.7157 | Best: 57.6597 | LR: 3.91e-05
Episode  1160 | Reward:  21.95 | Regret: 51.7032 | Best: 48.4343 | LR: 3.76e-05
Episode  1180 | Reward:  22.23 | Regret: 52.1978 | Best: 48.4343 | LR: 3.61e-05
Episode  1200 | Reward:  20.75 | Regret: 55.9148 | Best: 48.4343 | LR: 3.45e-05
Episode  1220 | Reward:  21.32 | Regret: 58.3313 | Best: 48.4343 | LR: 3.31e-05
Episode  1240 | Reward:  21.03 | Regret: 69.8146 | Best: 48.4343 | LR: 3.16e-05
Episode  1260 | Reward:  21.04 | Regret: 66.9539 | Best: 48.4343 | LR: 3.01e-05
Episode  1280 | Reward:  20.53 | Regret: 66.7037 | Best: 48.4343 | LR: 2.87e-05
Episode  1300 | Reward:  21.36 | Regret: 72.5652 | Best: 48.4343 | LR: 2.73e-05
Episode  1320 | Reward:  20.15 | Regret: 74.2850 | Best: 48.4343 | LR: 2.59e-05
Episode  1340 | Reward:  20.10 | Regret: 64.6373 | Best: 48.4343 | LR: 2.45e-05
Episode  1360 | Reward:  20.06 | Regret: 66.9745 | Best: 48.4343 | LR: 2.32e-05
Episode  1380 | Reward:  21.10 | Regret: 64.6863 | Best: 48.4343 | LR: 2.19e-05
Episode  1400 | Reward:  20.63 | Regret: 58.7454 | Best: 48.4343 | LR: 2.06e-05
Episode  1420 | Reward:  20.81 | Regret: 60.3998 | Best: 48.4343 | LR: 1.94e-05
Episode  1440 | Reward:  19.85 | Regret: 73.0330 | Best: 48.4343 | LR: 1.81e-05
Episode  1460 | Reward:  20.34 | Regret: 75.0089 | Best: 48.4343 | LR: 1.69e-05
Episode  1480 | Reward:  19.93 | Regret: 77.3110 | Best: 48.4343 | LR: 1.58e-05
Episode  1500 | Reward:  20.06 | Regret: 83.2338 | Best: 48.4343 | LR: 1.46e-05
Episode  1520 | Reward:  20.13 | Regret: 77.8417 | Best: 48.4343 | LR: 1.36e-05
Episode  1540 | Reward:  20.87 | Regret: 64.4413 | Best: 48.4343 | LR: 1.25e-05
Episode  1560 | Reward:  20.59 | Regret: 61.0186 | Best: 48.4343 | LR: 1.15e-05
Episode  1580 | Reward:  20.12 | Regret: 66.2566 | Best: 48.4343 | LR: 1.05e-05
Episode  1600 | Reward:  20.95 | Regret: 63.7637 | Best: 48.4343 | LR: 9.55e-06
Episode  1620 | Reward:  20.49 | Regret: 64.7073 | Best: 48.4343 | LR: 8.65e-06
Episode  1640 | Reward:  20.37 | Regret: 69.1410 | Best: 48.4343 | LR: 7.78e-06
Episode  1660 | Reward:  20.04 | Regret: 68.7652 | Best: 48.4343 | LR: 6.96e-06
Episode  1680 | Reward:  21.02 | Regret: 60.0003 | Best: 48.4343 | LR: 6.18e-06
Episode  1700 | Reward:  19.74 | Regret: 59.8121 | Best: 48.4343 | LR: 5.45e-06
Episode  1720 | Reward:  20.69 | Regret: 58.4242 | Best: 48.4343 | LR: 4.76e-06
Episode  1740 | Reward:  21.56 | Regret: 52.9682 | Best: 48.4343 | LR: 4.11e-06
Episode  1760 | Reward:  22.01 | Regret: 51.6884 | Best: 48.4343 | LR: 3.51e-06
Episode  1780 | Reward:  21.41 | Regret: 54.5076 | Best: 48.4343 | LR: 2.96e-06
Episode  1800 | Reward:  22.37 | Regret: 50.1817 | Best: 48.4343 | LR: 2.45e-06
Episode  1820 | Reward:  22.39 | Regret: 56.5708 | Best: 48.4343 | LR: 1.99e-06
Episode  1840 | Reward:  21.69 | Regret: 61.6219 | Best: 48.4343 | LR: 1.57e-06
Episode  1860 | Reward:  21.37 | Regret: 66.9852 | Best: 48.4343 | LR: 1.20e-06
Episode  1880 | Reward:  21.98 | Regret: 65.4405 | Best: 48.4343 | LR: 8.86e-07
Episode  1900 | Reward:  21.06 | Regret: 66.9510 | Best: 48.4343 | LR: 6.16e-07
Episode  1920 | Reward:  20.90 | Regret: 64.5716 | Best: 48.4343 | LR: 3.94e-07
Episode  1940 | Reward:  20.44 | Regret: 67.4329 | Best: 48.4343 | LR: 2.22e-07
Episode  1960 | Reward:  20.47 | Regret: 61.5829 | Best: 48.4343 | LR: 9.87e-08
Episode  1980 | Reward:  19.88 | Regret: 63.6407 | Best: 48.4343 | LR: 2.47e-08
Episode  2000 | Reward:  19.38 | Regret: 69.0846 | Best: 48.4343 | LR: 1.00e-04

模型已保存: ./runs/ppo_bo_1219_v1/ppo_ep2000.pt

Episode  2020 | Reward:  19.43 | Regret: 66.3557 | Best: 48.4343 | LR: 1.00e-04
Episode  2040 | Reward:  20.28 | Regret: 61.2171 | Best: 48.4343 | LR: 1.00e-04
Episode  2060 | Reward:  20.51 | Regret: 66.0568 | Best: 48.4343 | LR: 9.99e-05
Episode  2080 | Reward:  20.58 | Regret: 64.4388 | Best: 48.4343 | LR: 9.99e-05
Episode  2100 | Reward:  22.48 | Regret: 52.8949 | Best: 48.4343 | LR: 9.98e-05
Episode  2120 | Reward:  22.88 | Regret: 47.6724 | Best: 47.0709 | LR: 9.98e-05
Episode  2140 | Reward:  22.59 | Regret: 49.3575 | Best: 44.9635 | LR: 9.97e-05
Episode  2160 | Reward:  22.56 | Regret: 46.2265 | Best: 44.9635 | LR: 9.96e-05
Episode  2180 | Reward:  23.01 | Regret: 46.6460 | Best: 42.5664 | LR: 9.95e-05
Episode  2200 | Reward:  22.52 | Regret: 50.9674 | Best: 42.5664 | LR: 9.94e-05
Episode  2220 | Reward:  21.40 | Regret: 59.5196 | Best: 42.5664 | LR: 9.93e-05
Episode  2240 | Reward:  21.56 | Regret: 57.9439 | Best: 42.5664 | LR: 9.91e-05
Episode  2260 | Reward:  21.59 | Regret: 58.9909 | Best: 42.5664 | LR: 9.90e-05
Episode  2280 | Reward:  22.03 | Regret: 68.1006 | Best: 42.5664 | LR: 9.88e-05
Episode  2300 | Reward:  22.21 | Regret: 66.4293 | Best: 42.5664 | LR: 9.86e-05
Episode  2320 | Reward:  22.77 | Regret: 62.7445 | Best: 42.5664 | LR: 9.84e-05
Episode  2340 | Reward:  22.77 | Regret: 65.2044 | Best: 42.5664 | LR: 9.82e-05
Episode  2360 | Reward:  22.46 | Regret: 65.6311 | Best: 42.5664 | LR: 9.80e-05
Episode  2380 | Reward:  21.65 | Regret: 57.6394 | Best: 42.5664 | LR: 9.78e-05
Episode  2400 | Reward:  21.00 | Regret: 61.0032 | Best: 42.5664 | LR: 9.76e-05
Episode  2420 | Reward:  21.74 | Regret: 62.4518 | Best: 42.5664 | LR: 9.73e-05
Episode  2440 | Reward:  21.70 | Regret: 61.3340 | Best: 42.5664 | LR: 9.70e-05
Episode  2460 | Reward:  22.11 | Regret: 59.6690 | Best: 42.5664 | LR: 9.68e-05
Episode  2480 | Reward:  22.18 | Regret: 60.3888 | Best: 42.5664 | LR: 9.65e-05
Episode  2500 | Reward:  21.98 | Regret: 58.7127 | Best: 42.5664 | LR: 9.62e-05
Episode  2520 | Reward:  21.17 | Regret: 56.6936 | Best: 42.5664 | LR: 9.59e-05
Episode  2540 | Reward:  21.10 | Regret: 54.7863 | Best: 42.5664 | LR: 9.56e-05
Episode  2560 | Reward:  20.53 | Regret: 54.9587 | Best: 42.5664 | LR: 9.52e-05
Episode  2580 | Reward:  21.48 | Regret: 49.4432 | Best: 42.5664 | LR: 9.49e-05
Episode  2600 | Reward:  21.91 | Regret: 48.9688 | Best: 42.5664 | LR: 9.46e-05
Episode  2620 | Reward:  21.90 | Regret: 57.0141 | Best: 42.5664 | LR: 9.42e-05
Episode  2640 | Reward:  22.35 | Regret: 58.5553 | Best: 42.5664 | LR: 9.38e-05
Episode  2660 | Reward:  22.69 | Regret: 61.9134 | Best: 42.5664 | LR: 9.34e-05
Episode  2680 | Reward:  22.17 | Regret: 64.9465 | Best: 42.5664 | LR: 9.30e-05
Episode  2700 | Reward:  23.34 | Regret: 63.0154 | Best: 42.5664 | LR: 9.26e-05
Episode  2720 | Reward:  23.39 | Regret: 53.9196 | Best: 42.5664 | LR: 9.22e-05
Episode  2740 | Reward:  23.59 | Regret: 49.4672 | Best: 42.5664 | LR: 9.18e-05
Episode  2760 | Reward:  23.86 | Regret: 49.9849 | Best: 42.5664 | LR: 9.14e-05
Episode  2780 | Reward:  23.84 | Regret: 47.9971 | Best: 42.5664 | LR: 9.09e-05
Episode  2800 | Reward:  22.17 | Regret: 50.6546 | Best: 42.5664 | LR: 9.05e-05
Episode  2820 | Reward:  22.29 | Regret: 56.4400 | Best: 42.5664 | LR: 9.00e-05
analytics-python queue is full
analytics-python queue is full
analytics-python queue is full
analytics-python queue is full
Episode  2840 | Reward:  22.02 | Regret: 56.6882 | Best: 42.5664 | LR: 8.95e-05
Episode  2860 | Reward:  22.18 | Regret: 52.1142 | Best: 42.5664 | LR: 8.90e-05
Episode  2880 | Reward:  21.54 | Regret: 64.8297 | Best: 42.5664 | LR: 8.85e-05
Episode  2900 | Reward:  22.35 | Regret: 63.3616 | Best: 42.5664 | LR: 8.80e-05
Episode  2920 | Reward:  23.01 | Regret: 59.5812 | Best: 42.5664 | LR: 8.75e-05
Episode  2940 | Reward:  23.85 | Regret: 58.3715 | Best: 42.5664 | LR: 8.70e-05
Episode  2960 | Reward:  24.44 | Regret: 56.3273 | Best: 42.5664 | LR: 8.64e-05
Episode  2980 | Reward:  25.70 | Regret: 40.1423 | Best: 39.3343 | LR: 8.59e-05
Episode  3000 | Reward:  26.23 | Regret: 45.3970 | Best: 37.4678 | LR: 8.54e-05

模型已保存: ./runs/ppo_bo_1219_v1/ppo_ep3000.pt

Episode  3020 | Reward:  26.03 | Regret: 48.6456 | Best: 37.4678 | LR: 8.48e-05
Episode  3040 | Reward:  25.51 | Regret: 53.1093 | Best: 37.4678 | LR: 8.42e-05
Episode  3060 | Reward:  25.28 | Regret: 55.3628 | Best: 37.4678 | LR: 8.37e-05
Episode  3080 | Reward:  24.24 | Regret: 62.4009 | Best: 37.4678 | LR: 8.31e-05
Episode  3100 | Reward:  23.45 | Regret: 56.3086 | Best: 37.4678 | LR: 8.25e-05
Episode  3120 | Reward:  23.00 | Regret: 52.5624 | Best: 37.4678 | LR: 8.19e-05
Episode  3140 | Reward:  22.70 | Regret: 50.7337 | Best: 37.4678 | LR: 8.13e-05
Episode  3160 | Reward:  21.70 | Regret: 54.3369 | Best: 37.4678 | LR: 8.06e-05
Episode  3180 | Reward:  21.64 | Regret: 51.1126 | Best: 37.4678 | LR: 8.00e-05
Episode  3200 | Reward:  21.92 | Regret: 50.0210 | Best: 37.4678 | LR: 7.94e-05
Episode  3220 | Reward:  22.61 | Regret: 48.7185 | Best: 37.4678 | LR: 7.88e-05
Episode  3240 | Reward:  21.96 | Regret: 51.8680 | Best: 37.4678 | LR: 7.81e-05
Episode  3260 | Reward:  22.49 | Regret: 51.1853 | Best: 37.4678 | LR: 7.75e-05
Episode  3280 | Reward:  22.63 | Regret: 50.2247 | Best: 37.4678 | LR: 7.68e-05
Episode  3300 | Reward:  22.02 | Regret: 53.1805 | Best: 37.4678 | LR: 7.61e-05
Episode  3320 | Reward:  22.02 | Regret: 55.7860 | Best: 37.4678 | LR: 7.55e-05
Episode  3340 | Reward:  22.97 | Regret: 52.4286 | Best: 37.4678 | LR: 7.48e-05
Episode  3360 | Reward:  22.85 | Regret: 47.7708 | Best: 37.4678 | LR: 7.41e-05
Episode  3380 | Reward:  22.64 | Regret: 50.1422 | Best: 37.4678 | LR: 7.34e-05
Episode  3400 | Reward:  22.95 | Regret: 48.9386 | Best: 37.4678 | LR: 7.27e-05
Episode  3420 | Reward:  22.17 | Regret: 56.3809 | Best: 37.4678 | LR: 7.20e-05
Episode  3440 | Reward:  20.99 | Regret: 60.1863 | Best: 37.4678 | LR: 7.13e-05
Episode  3460 | Reward:  21.42 | Regret: 61.9769 | Best: 37.4678 | LR: 7.06e-05
Episode  3480 | Reward:  22.27 | Regret: 58.3405 | Best: 37.4678 | LR: 6.99e-05
Episode  3500 | Reward:  22.29 | Regret: 60.7073 | Best: 37.4678 | LR: 6.91e-05
Episode  3520 | Reward:  22.65 | Regret: 52.3700 | Best: 37.4678 | LR: 6.84e-05
Episode  3540 | Reward:  23.24 | Regret: 48.9194 | Best: 37.4678 | LR: 6.77e-05
Episode  3560 | Reward:  22.62 | Regret: 47.6390 | Best: 37.4678 | LR: 6.69e-05
Episode  3580 | Reward:  22.05 | Regret: 52.1291 | Best: 37.4678 | LR: 6.62e-05
Episode  3600 | Reward:  22.20 | Regret: 53.5081 | Best: 37.4678 | LR: 6.55e-05
Episode  3620 | Reward:  22.70 | Regret: 49.4815 | Best: 37.4678 | LR: 6.47e-05
Episode  3640 | Reward:  23.19 | Regret: 48.0966 | Best: 37.4678 | LR: 6.39e-05
Episode  3660 | Reward:  23.70 | Regret: 54.5051 | Best: 37.4678 | LR: 6.32e-05
Episode  3680 | Reward:  23.97 | Regret: 50.0771 | Best: 37.4678 | LR: 6.24e-05
Episode  3700 | Reward:  23.83 | Regret: 44.3555 | Best: 37.4678 | LR: 6.17e-05
Episode  3720 | Reward:  22.50 | Regret: 61.8539 | Best: 37.4678 | LR: 6.09e-05
Episode  3740 | Reward:  22.30 | Regret: 66.6627 | Best: 37.4678 | LR: 6.01e-05
Episode  3760 | Reward:  22.37 | Regret: 65.5089 | Best: 37.4678 | LR: 5.94e-05
Episode  3780 | Reward:  22.93 | Regret: 63.8145 | Best: 37.4678 | LR: 5.86e-05
Episode  3800 | Reward:  22.85 | Regret: 66.7585 | Best: 37.4678 | LR: 5.78e-05
Episode  3820 | Reward:  24.06 | Regret: 51.5265 | Best: 37.4678 | LR: 5.70e-05
Episode  3840 | Reward:  24.03 | Regret: 59.1034 | Best: 37.4678 | LR: 5.63e-05
Episode  3860 | Reward:  23.88 | Regret: 57.6193 | Best: 37.4678 | LR: 5.55e-05
Episode  3880 | Reward:  23.68 | Regret: 59.3847 | Best: 37.4678 | LR: 5.47e-05
Episode  3900 | Reward:  23.63 | Regret: 58.7603 | Best: 37.4678 | LR: 5.39e-05
Episode  3920 | Reward:  23.21 | Regret: 64.0361 | Best: 37.4678 | LR: 5.31e-05
Episode  3940 | Reward:  23.61 | Regret: 54.3830 | Best: 37.4678 | LR: 5.24e-05
Episode  3960 | Reward:  24.33 | Regret: 49.4156 | Best: 37.4678 | LR: 5.16e-05
Episode  3980 | Reward:  24.27 | Regret: 48.6377 | Best: 37.4678 | LR: 5.08e-05
Episode  4000 | Reward:  24.93 | Regret: 50.6852 | Best: 37.4678 | LR: 5.00e-05

模型已保存: ./runs/ppo_bo_1219_v1/ppo_ep4000.pt

Episode  4020 | Reward:  25.04 | Regret: 44.6930 | Best: 37.4678 | LR: 4.92e-05
Episode  4040 | Reward:  24.55 | Regret: 45.4049 | Best: 37.4678 | LR: 4.84e-05
Episode  4060 | Reward:  22.90 | Regret: 50.6759 | Best: 37.4678 | LR: 4.76e-05
Episode  4080 | Reward:  22.43 | Regret: 51.7942 | Best: 37.4678 | LR: 4.69e-05
Episode  4100 | Reward:  21.96 | Regret: 55.7710 | Best: 37.4678 | LR: 4.61e-05
Episode  4120 | Reward:  22.10 | Regret: 57.9454 | Best: 37.4678 | LR: 4.53e-05
Episode  4140 | Reward:  21.90 | Regret: 60.8677 | Best: 37.4678 | LR: 4.45e-05
Episode  4160 | Reward:  21.45 | Regret: 60.3211 | Best: 37.4678 | LR: 4.37e-05
Episode  4180 | Reward:  21.51 | Regret: 65.1854 | Best: 37.4678 | LR: 4.30e-05
Episode  4200 | Reward:  21.28 | Regret: 58.2375 | Best: 37.4678 | LR: 4.22e-05
Episode  4220 | Reward:  21.74 | Regret: 54.2491 | Best: 37.4678 | LR: 4.14e-05
Episode  4240 | Reward:  22.69 | Regret: 48.7704 | Best: 37.4678 | LR: 4.06e-05
Episode  4260 | Reward:  24.50 | Regret: 44.9243 | Best: 37.4678 | LR: 3.99e-05
Episode  4280 | Reward:  24.74 | Regret: 41.2495 | Best: 37.4678 | LR: 3.91e-05
Episode  4300 | Reward:  24.92 | Regret: 46.6940 | Best: 37.4678 | LR: 3.83e-05
Episode  4320 | Reward:  23.99 | Regret: 50.7080 | Best: 37.4678 | LR: 3.76e-05
Episode  4340 | Reward:  23.22 | Regret: 53.8823 | Best: 37.4678 | LR: 3.68e-05
Episode  4360 | Reward:  23.08 | Regret: 53.5709 | Best: 37.4678 | LR: 3.61e-05
Episode  4380 | Reward:  22.75 | Regret: 55.3607 | Best: 37.4678 | LR: 3.53e-05
Episode  4400 | Reward:  23.34 | Regret: 49.0689 | Best: 37.4678 | LR: 3.45e-05
Episode  4420 | Reward:  23.13 | Regret: 45.9831 | Best: 37.4678 | LR: 3.38e-05
Episode  4440 | Reward:  22.81 | Regret: 45.1049 | Best: 37.4678 | LR: 3.31e-05
Episode  4460 | Reward:  23.19 | Regret: 49.1166 | Best: 37.4678 | LR: 3.23e-05
Episode  4480 | Reward:  23.65 | Regret: 47.7576 | Best: 37.4678 | LR: 3.16e-05
Episode  4500 | Reward:  22.61 | Regret: 52.6643 | Best: 37.4678 | LR: 3.09e-05
Episode  4520 | Reward:  23.19 | Regret: 53.3666 | Best: 37.4678 | LR: 3.01e-05
Episode  4540 | Reward:  24.04 | Regret: 51.6166 | Best: 37.4678 | LR: 2.94e-05
Episode  4560 | Reward:  23.63 | Regret: 47.3717 | Best: 37.4678 | LR: 2.87e-05
Episode  4580 | Reward:  23.31 | Regret: 48.5670 | Best: 37.4678 | LR: 2.80e-05
Episode  4600 | Reward:  23.46 | Regret: 49.2586 | Best: 37.4678 | LR: 2.73e-05
Episode  4620 | Reward:  23.89 | Regret: 48.6190 | Best: 37.4678 | LR: 2.66e-05
Episode  4640 | Reward:  23.35 | Regret: 51.3006 | Best: 37.4678 | LR: 2.59e-05
Episode  4660 | Reward:  23.38 | Regret: 49.2267 | Best: 37.4678 | LR: 2.52e-05
Episode  4680 | Reward:  24.04 | Regret: 46.1942 | Best: 37.4678 | LR: 2.45e-05
Episode  4700 | Reward:  25.23 | Regret: 41.6632 | Best: 37.4678 | LR: 2.39e-05
Episode  4720 | Reward:  24.42 | Regret: 43.4993 | Best: 37.4678 | LR: 2.32e-05
Episode  4740 | Reward:  25.34 | Regret: 38.5610 | Best: 37.4678 | LR: 2.25e-05
Episode  4760 | Reward:  25.58 | Regret: 38.9808 | Best: 37.4678 | LR: 2.19e-05
Episode  4780 | Reward:  25.57 | Regret: 40.0106 | Best: 37.4678 | LR: 2.12e-05
Episode  4800 | Reward:  24.63 | Regret: 41.4463 | Best: 37.4678 | LR: 2.06e-05
Episode  4820 | Reward:  24.88 | Regret: 42.2819 | Best: 37.4678 | LR: 2.00e-05
Episode  4840 | Reward:  24.05 | Regret: 46.8143 | Best: 37.4678 | LR: 1.94e-05
Episode  4860 | Reward:  23.48 | Regret: 51.3915 | Best: 37.4678 | LR: 1.87e-05
Episode  4880 | Reward:  23.17 | Regret: 51.2581 | Best: 37.4678 | LR: 1.81e-05
Episode  4900 | Reward:  22.95 | Regret: 66.4675 | Best: 37.4678 | LR: 1.75e-05
Episode  4920 | Reward:  23.31 | Regret: 74.8589 | Best: 37.4678 | LR: 1.69e-05
Episode  4940 | Reward:  23.85 | Regret: 71.2963 | Best: 37.4678 | LR: 1.63e-05
Episode  4960 | Reward:  24.50 | Regret: 67.8870 | Best: 37.4678 | LR: 1.58e-05
Episode  4980 | Reward:  24.52 | Regret: 70.4809 | Best: 37.4678 | LR: 1.52e-05
Episode  5000 | Reward:  24.56 | Regret: 56.1280 | Best: 37.4678 | LR: 1.46e-05

模型已保存: ./runs/ppo_bo_1219_v1/ppo_ep5000.pt

Episode  5020 | Reward:  24.19 | Regret: 47.4719 | Best: 37.4678 | LR: 1.41e-05
